methodHistories,LOC,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,Churn,MaxChurn,AvgChurn,cond,elseAdded,elseDeleted,bug
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,9,1,9,9,9,0,0,0,9,9,4,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,13,1,13,13,13,0,0,0,13,13,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,12,1,12,12,12,0,0,0,12,12,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,9,1,9,9,9,0,0,0,9,9,4,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,12,1,12,12,12,0,0,0,12,12,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,12,1,12,12,12,0,0,0,12,12,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,13,1,13,13,13,0,0,0,13,13,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,12,1,12,12,12,0,0,0,12,12,6,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,28,1,28,28,28,0,0,0,28,28,14,0,0,0,FALSE
2,101,1,101,101,101,0,0,0,101,101,50,6,2,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,TRUE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,72,1,72,72,72,0,0,0,72,72,36,2,0,0,TRUE
2,13,1,13,13,13,0,0,0,13,13,6,0,0,0,FALSE
2,104,1,104,104,104,0,0,0,104,104,52,4,1,0,TRUE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,51,1,51,51,51,0,0,0,51,51,25,1,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,44,1,44,44,44,0,0,0,44,44,22,1,0,0,TRUE
2,91,1,91,91,91,0,0,0,91,91,45,4,1,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,TRUE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
5,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
7,19,2,19,19,19,0,0,0,19,19,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
3,15,2,19,19,19,4,4,4,15,19,5,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
2,105,1,105,105,105,0,0,0,105,105,52,4,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,34,1,34,34,34,0,0,0,34,34,17,1,0,0,FALSE
2,38,1,38,38,38,0,0,0,38,38,19,1,0,0,TRUE
2,11,1,11,11,11,0,0,0,11,11,5,0,0,0,FALSE
2,38,1,38,38,38,0,0,0,38,38,19,1,0,0,TRUE
2,42,1,42,42,42,0,0,0,42,42,21,1,0,0,FALSE
3,21,1,22,22,22,1,1,1,21,22,7,0,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,183,1,183,183,183,0,0,0,183,183,91,5,1,0,TRUE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,16,1,16,16,16,0,0,0,16,16,8,0,0,0,FALSE
2,42,1,42,42,42,0,0,0,42,42,21,1,0,0,TRUE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
7,1135,3,1180,1152,590,45,36,22,1135,1152,162,2,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,38,1,38,38,38,0,0,0,38,38,19,1,0,0,TRUE
2,71,1,71,71,71,0,0,0,71,71,35,3,1,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,71,1,71,71,71,0,0,0,71,71,35,3,1,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,68,1,68,68,68,0,0,0,68,68,34,2,0,0,FALSE
6,14,1,14,14,14,0,0,0,14,14,2,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,44,1,44,44,44,0,0,0,44,44,22,1,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
6,22,1,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
3,22,1,22,22,22,0,0,0,22,22,7,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
6,20,1,22,20,11,2,2,2,20,20,3,0,0,0,FALSE
2,38,1,38,38,38,0,0,0,38,38,19,1,0,0,TRUE
6,22,1,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
6,22,1,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
2,20,1,20,20,20,0,0,0,20,20,10,0,0,0,FALSE
2,22,1,22,22,22,0,0,0,22,22,11,0,0,0,FALSE
