TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.722958822261234,0.221984711011173,0.82051282051282,0.155717761557178,0.261758691206544,0.133362629493095,0.592090395480226,0.970464135021097,0.690412154044561,0.157074860501989,0.685860746222846,0.209214740519735,0.924292586492518,0.499194679627849,0.575900821728429,0.209214740519735,0.323979441352824,xalan-2.6.csv,svmLinear,5,53.023,1526,885,0,0,0,1 
0.432218309859155,-0.04459398118682,0.658415841584158,0.936619718309859,0.773255813953488,-0.0273264401772527,0.635514018691589,0.0416666666666667,0.80501809776224,0.388311438016784,0.708363106908295,0.942533598503448,0.400102141241299,0.805611490128831,0.82494359997147,0.942533598503448,0.878098597256159,velocity-1.5.csv,svmLinear,5,9.417,196,214,0,0,0,1 
0.604044604044601,0.138610935593277,0.0735294117647059,0.454545454545455,0.126582278481013,0.091619394198865,0.859756097560976,0.869022869022869,0.820861900977179,0.416921127983922,0.808186195295201,0.41337073054228,0.945805893849824,0.628366839230731,0.704533406659185,0.41337073054228,0.517027243382268,jedit-4.3.csv,svmLinear,5,33.416,1257,492,0,0,0,1 
0.644484897518878,0.182379693302273,0.693877551020408,0.472222222222222,0.56198347107438,0.170142630744849,0.57085020242915,0.70873786407767,0.655625389729224,0.306710729143101,0.723719006970614,0.615410739607758,0.693653507407167,0.676519719181642,0.636334665378368,0.615410739607758,0.619101855048366,lucene-2.2.csv,svmLinear,5,9.78999999999996,195,247,0,0,0,1 
0.707958088665899,0,NA,0,NA,0,0.875580315691736,1,0.978189658058979,0.00206074192753052,0.695274244415674,0.002,0.999480249455116,0.0672262656491274,0.05,0.002,0.285714285714286,PC3.csv,svmLinear,5,18.592,745,1077,0,0,0,1 
0.737621804322031,0.35862514997125,0.734597156398104,0.763546798029557,0.748792270531401,0.358187824445493,0.694117647058824,0.591240875912409,0.608268932034357,0.210993868699113,0.666246686326742,0.696229664012327,0.514828100051526,0.692232971082474,0.619416723033122,0.696229664012327,0.65089466507117,lucene-2.4.csv,svmLinear,5,14.5029999999999,442,340,0,0,0,1 
0.423575855850395,0,NA,0,NA,0,0.256802721088435,1,0.842834443855209,0.010425519261357,0.6590797324956,0.0108826104911596,0.996107765733116,0.274636039922253,0.393467643467643,0.0108826104911596,0.0819627090054749,xerces-1.4.csv,svmLinear,5,25.808,893,588,0,0,0,1 
0.323087494273934,-0.296256743861635,0.0333333333333333,0.11864406779661,0.0520446096654275,-0.207170523388619,0.405594405594406,0.451351351351351,0.918259546441922,0.0318795276473617,0.762793164419927,0.0218579361591069,0.996850863022845,0.228993460414748,0.462461701160331,0.0218579361591069,0.0641495323360112,PC4.csv,svmLinear,5,211.917,1822,1287,0,0,0,1 
0.569391025641026,0,NA,0,NA,0,0.886363636363636,1,0.764908868468556,0.0288735409549859,0.642734228408933,0.0492380872148368,0.973593951936047,0.316565690539295,0.288844200746797,0.0492380872148368,0.161856456139489,ivy-2.0.csv,svmLinear,5,12.745,352,352,0,0,0,1 
0.933333333333333,0,NA,0,NA,0,0.9375,1,0.790083406393567,-0.00369773557417573,0.506710908772079,0.0425531914893617,0.946224622739774,0.180315845502016,0.179292929292929,0.0425531914893617,0.496296296296296,forrest-0.8.csv,svmLinear,5,7.37699999999998,35,32,0,0,0,1 
0.634227166567284,0,NA,0,NA,0,0.518057285180573,1,0.845849386027404,0.0808071139286836,0.750014123852649,0.07738322365285,0.983453437103422,0.340491221476733,0.452854246059781,0.07738322365285,0.197914854215172,xalan-2.5.csv,svmLinear,5,17.617,723,803,0,0,0,2 
0.883294148380356,0.499839274900351,0.45,0.75,0.5625,0.476995114006515,0.847411444141689,0.862068965517241,0.799637413669376,0.448246770317346,0.81230846234015,0.49172543666706,0.91757557638799,0.670506076949389,0.696247439439442,0.49172543666706,0.573459537113046,jedit-4.2.csv,svmLinear,5,21.072,890,367,0,0,0,2 
0.678446502057613,0,NA,0,NA,0,0.72972972972973,1,0.895514062212424,0.00414165161535004,0.676275354813585,0.0124166666666667,0.991550741479982,0.178831300271215,0.126282051282051,0.0124166666666667,0.255952380952381,synapse-1.1.csv,svmLinear,5,7.79899999999998,157,222,0,0,0,2 
0.468918085661433,0,NA,0,NA,0,0.833715596330275,1,0.759080226286742,0.0128421634833179,0.600383290207257,0.0175385969564538,0.991837085870081,0.322153992052739,0.471351439500212,0.0175385969564538,0.105060149635619,camel-1.4.csv,svmLinear,5,29.279,947,872,0,0,0,1 
0.479607766611377,-0.0304710977274998,0.111607142857143,0.675675675675676,0.191570881226054,-0.0133990027226284,0.328025477707006,0.28158844765343,0.696494712984278,0.345570614221373,0.751907731853131,0.834691015683193,0.500418192614846,0.775130468135636,0.709851773716222,0.834691015683193,0.764212475316724,poi-2.0.csv,svmLinear,5,10.7350000000001,237,314,0,0,0,1 
0.723127865511971,0.108491013533846,0.351598173515982,0.987179487179487,0.518518518518519,0.0325563532157523,0.375545851528384,0.0596026490066225,0.715794312262148,0.122091899411014,0.639425598536903,0.953980967177217,0.144948556174444,0.77053506062152,0.729130830143658,0.953980967177217,0.825434721117552,velocity-1.6.csv,svmLinear,5,13.8379999999997,410,229,0,0,0,1 
