TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.5,0,NA,0,NA,0,0.6640625,1,0.799183542450125,0,0.5,0,1,0,NaN,0,NaN,synapse-1.2.csv,rpart,5,8.943,379,256,0,0,0,2 
0.695130593237497,0.0723224133954223,1,0.302895322939866,0.464957264957265,0.0104066307489504,0.311331133113311,1,0.702618234734409,0.32319506444996,0.697336601733032,0.443639724109278,0.85935147265969,0.51423110231976,0.660099814505196,0.443639724109278,0.527227219187257,xalan-2.7.csv,rpart,5,13.6880000000001,2411,909,0,0,0,2 
0.58953488372093,0.343475334896249,0.75,0.2,0.315789473684211,0.270150083379656,0.871287128712871,0.988372093023256,0.874032308740438,0.377035100970139,0.707451577310176,0.381264552054413,0.952791659096678,0.253907019286917,0.598193511484701,0.381264552054413,0.441165310479712,ar6.csv,rpart,5,8.97100000000137,327,101,0,0,0,2 
0.5,0,NA,0,NA,0,0.951801997394703,1,0.920649785992433,0,0.5,0,1,0,NaN,0,NaN,mng-2.csv,rpart,5,10.6599999999999,1858,2303,0,0,0,2 
0.5,0,NA,0,NA,0,0.949176305643183,1,0.93746876255725,0,0.5,0,1,0,NaN,0,NaN,mng-3.csv,rpart,5,14.1779999999999,4161,2853,0,0,0,2 
0.5,0,NA,0,NA,0,0.256802721088435,1,0.84458823866249,0,0.5,0,1,0,NaN,0,NaN,xerces-1.4.csv,rpart,5,10.783,893,588,0,0,0,2 
0.679101794254072,0.234619191003027,0.705555555555556,0.625615763546798,0.663185378590078,0.232411620581029,0.620588235294118,0.613138686131387,0.605122862123387,0.210139407411121,0.640874699142027,0.616725582368676,0.594980000737111,0.571381802771977,0.633238901498726,0.616725582368676,0.621580838708572,lucene-2.4.csv,rpart,5,9.07099999999991,442,340,0,0,0,2 
0.63507658981897,0.23405467773278,0.715254237288136,0.750889679715303,0.732638888888889,0.233485732303327,0.65158371040724,0.478260869565217,0.600160702249559,0.207912692816217,0.611946345262881,0.654438085189286,0.561133723752087,0.102110108918488,0.552690719464571,0.654438085189286,0.641030341307141,poi-3.0.csv,rpart,5,15.264,936,442,100,99,87,0 
0.499951214752659,0.00761571583834645,0.119791666666667,0.621621621621622,0.200873362445415,0.00409026309404135,0.417197452229299,0.389891696750903,0.698876185064502,0.375098916991583,0.727414614863593,0.756046189419651,0.620158025735876,0.58822513492482,0.745349278819526,0.756046189419651,0.746213646563938,poi-2.0.csv,rpart,5,15.044,237,314,100,99,95,0 
0.5,0,NA,0,NA,0,0.875580315691736,1,0.978662702239228,0,0.5,0,1,0,NaN,0,NaN,PC3.csv,rpart,5,17.067,745,1077,100,86,73,0 
