TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.792045454545455,0.41255860623742,0.352941176470588,0.75,0.48,0.37145049884881,0.793650793650794,0.8,0.889010774260879,0.0676247790326626,0.700434783311509,0.113468013468013,0.956016159382431,0.164582879705133,0.167733990147783,0.113468013468013,0.350426136363636,ar3.csv,rf,5,47.77,121,63,0,0,0,2 
0.578351449275362,0.13101204709434,0.36,0.225,0.276923076923077,0.125809822361546,0.735955056179775,0.884057971014493,0.793877918980771,0.166130764299372,0.727884549416034,0.272925324675325,0.89673323792078,0.2962614590043,0.32321373912283,0.272925324675325,0.310715618246379,ant-1.4.csv,rf,5,53.755,125,178,0,0,0,2 
0.665804597701149,0.209010834720013,0.666666666666667,0.1,0.173913043478261,0.131567706108501,0.822429906542056,0.988505747126437,0.899785985006741,0.246097239662683,0.766589122645357,0.232920634920635,0.972207862911289,0.262955071880134,0.492063492063492,0.232920634920635,0.350039188453823,ar4.csv,rf,5,74.727,184,107,0,0,0,2 
0.637033045977011,0.0689381412114098,0.166666666666667,0.1875,0.176470588235294,0.0687854710556187,0.808873720136519,0.885057471264368,0.772438026164452,0.165846671791791,0.712591876463445,0.253455969039809,0.896448855403348,0.331514779715536,0.375723263976717,0.253455969039809,0.289928965244118,ant-1.5.csv,rf,5,117.994,303,293,0,0,0,2 
0.901785714285714,0.564076074817766,1,0.375,0.545454545454545,0.482758620689656,0.861111111111111,1,0.868706601456431,0.324833613228424,0.776454645730412,0.348325056135815,0.945228620614408,0.355153647028647,0.4933587574706,0.348325056135815,0.393599403607074,ar5.csv,rf,5,118.789,291,36,0,0,0,2 
0.655426356589147,0.200713981708919,0.5,0.133333333333333,0.210526315789474,0.15786548082268,0.851485148514851,0.976744186046512,0.866564649387796,0.37453073652189,0.800662543146434,0.406219669391496,0.940026151510912,0.429115530997239,0.53445849558888,0.406219669391496,0.446622100114148,ar6.csv,rf,5,134.04,327,101,0,0,0,2 
0.774655867047172,0.242862211988996,0.588235294117647,0.217391304347826,0.317460317460317,0.205003950487226,0.754985754985755,0.945945945945946,0.814040528240866,0.155502002931849,0.706306457603742,0.212186289607375,0.923247284732735,0.272527635927712,0.328016683406111,0.212186289607375,0.258132011563409,ant-1.6.csv,rf,5,231.283,596,351,0,0,0,2 
0.916666666666667,0.359863746032873,0.333333333333333,0.5,0.4,0.351351351351351,0.90625,0.933333333333333,0.721481991048168,-0.041010621928374,0.437258104712052,0.0964912280701754,0.862968004218004,0.159703908907856,0.0804957599478147,0.0964912280701754,0.414037698412698,forrest-0.8.csv,rf,5,36.328,35,32,0,0,0,2 
0.729583333333334,0.16556159124588,0.107438016528926,0.8125,0.18978102189781,0.0821410190427173,0.539419087136929,0.52,0.671707353835879,0.325278759293545,0.699622463496471,0.768085027441862,0.556430151273249,0.676762650419859,0.68654958068629,0.768085027441862,0.719248555377333,ivy-1.4.csv,rf,5,53.962,111,241,0,0,0,2 
0.570282974300831,0.0797563031502288,0.666666666666667,0.0277777777777778,0.0533333333333333,0.0256410256410255,0.649671052631579,0.99234693877551,0.949375197086745,0.0240404470517993,0.71620455833677,0.0345833333333333,0.987928369040735,0.091606489447194,0.0701911027568922,0.0345833333333333,0.244594641469641,camel-1.2.csv,rf,5,84.209,339,608,0,0,0,2 
