TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.72145239349323,0.256938502058187,0.498422712933754,0.185011709601874,0.269854824935952,0.224390977678803,0.891607505070994,0.977395507534831,0.875655497547527,0.311281074872457,0.800471069052538,0.24605388891229,0.981991185484406,0.504228205843242,0.702484977023649,0.24605388891229,0.362751937165825,eclipse-2.1.csv,AdaBag,5,4769.803,6729,7888,0,0,0,2 
0.709791089856532,0.271593649643306,0.801980198019802,0.399014778325123,0.532894736842105,0.22571126150688,0.582352941176471,0.854014598540146,0.600484011541518,0.217038354723292,0.679117797390064,0.501997986826994,0.720406858346288,0.649012317952627,0.699801508488695,0.501997986826994,0.553556289862269,lucene-2.4.csv,AdaBag,5,5742.356,442,340,0,0,0,2 
0.678313676578665,0.274446502150644,0.747252747252747,0.130102040816327,0.221618685497013,0.185878640975866,0.864721986217313,0.992354570637119,0.883220368548484,0.213259860201191,0.721614396601332,0.155894138805721,0.988372436952931,0.423549385609372,0.669351036903691,0.155894138805721,0.250705733494569,eclipse-3.0.csv,AdaBag,5,4953.964,14617,10593,0,0,0,2 
0.576742943748758,0,NA,0,NA,0,0.518057285180573,1,0.850487104666514,0.0114405691780482,0.678122622572725,0.0105535123229764,0.998001526464119,0.297566984449723,0.595555555555556,0.0105535123229764,0.199664346012848,xalan-2.5.csv,AdaBag,5,5734.815,723,803,0,0,0,2 
0.714634146341463,0.210400315310902,0.25,0.9,0.391304347826087,0.121771217712177,0.450980392156863,0.341463414634146,0.787991951551274,0.299984338944928,0.77493944547516,0.839047863624135,0.562925170068027,0.706548195176138,0.912034998899406,0.839047863624135,0.863376426824241,pbeans2.csv,AdaBag,5,4027.298,26,51,0,0,0,2 
0.653258099745177,0,NA,0,NA,0,0.875580315691736,1,0.974366595122125,0.0493542311382981,0.698858214044406,0.0480198412698413,0.994660958327795,0.079752078015222,0.127675736961451,0.0480198412698413,0.245063993977037,PC3.csv,AdaBag,5,7831.569,745,1077,0,0,0,2 
0.655883851248089,0.216185210899224,0.371428571428571,1,0.541666666666667,0.0892986261749819,0.423580786026201,0.125827814569536,0.724691332316503,0.227674717090693,0.726312232234604,0.905317564355447,0.292543976072316,0.767046136992625,0.755211318516058,0.905317564355447,0.822429489327504,velocity-1.6.csv,AdaBag,5,6230.947,410,229,0,0,0,2 
0.787907647907648,0.428202707757648,0.515463917525773,0.666666666666667,0.581395348837209,0.421458956987553,0.764705882352941,0.796536796536797,0.766043115346254,0.449719677433036,0.827336920244791,0.580613574648452,0.858846075317932,0.657104851801199,0.679434334728339,0.580613574648452,0.613200591187056,jedit-4.0.csv,AdaBag,5,6423.902,272,306,0,0,0,2 
0.795608108108108,0.50746085945304,0.791666666666667,0.513513513513513,0.622950819672131,0.48553252616458,0.788990825688073,0.930555555555556,0.804748467171198,0.422259462208856,0.797109013065505,0.471129390861976,0.92055934074034,0.551884904518672,0.682872404642141,0.471129390861976,0.534897557914032,log4j-1.1.csv,AdaBag,5,5750.967,135,109,0,0,0,2 
0.543253187983882,0.131319929976158,0.5875,0.0398305084745763,0.0746031746031746,0.0609069615033662,0.886509635974304,0.996371233780515,0.880425414043929,0.109068436017272,0.615631238024192,0.0724939282548389,0.994900164456527,0.339542367620944,0.672088647109403,0.0724939282548389,0.130644323754187,prop-3.csv,AdaBag,5,25989.341,41485,10274,0,0,0,2 
