TestROC,TestMCC,TestPrecision,TestRecall,TestF1,TestKappa,TestAccuracy,TestSpecificity,TrainAccuracy,TrainKappa,TrainROC,TrainSens,TrainSpec,TrainAUC,TrainPrecision,TrainRecall,TrainF,DataSet,Model,iteration,RunTime,NRowTrainData,NRowTestData,countTotalChecks,nonEqualROCValues,nonEqualAccuracyValues,countNullModels
0.678468330786212,0.24828134193956,0.38974358974359,0.974358974358974,0.556776556776557,0.136710596005857,0.471615720524017,0.211920529801325,0.714564418335178,0.235472301546609,0.721021990448181,0.870176165237896,0.343639105296775,0.84191089383328,0.761374028968237,0.870176165237896,0.811117899499387,velocity-1.6.csv,rotationForest,5,1148.417,410,229,0,0,0,2 
0.582336956521739,0.0426366563012099,0.277777777777778,0.125,0.172413793103448,0.0382710490769926,0.730337078651685,0.905797101449275,0.821308874929466,0.19792547249236,0.777577044903742,0.242903069153069,0.935469057390355,0.357030141700366,0.462249777409352,0.242903069153069,0.326249450280592,ant-1.4.csv,rotationForest,5,785.156,125,178,0,0,0,2 
0.842816091954023,0.209010834720013,0.666666666666667,0.1,0.173913043478261,0.131567706108501,0.822429906542056,0.988505747126437,0.902081274958178,0.206814237424406,0.724704354157524,0.186452380952381,0.979805606237515,0.249533234502135,0.510435038212816,0.186452380952381,0.361501713774441,ar4.csv,rotationForest,5,372.01,184,107,0,0,0,2 
0.946428571428571,0.564076074817766,1,0.375,0.545454545454545,0.482758620689656,0.861111111111111,1,0.879006979054542,0.319919219746675,0.788751341706596,0.302581285415651,0.963858044700172,0.386493631592456,0.558289377289377,0.302581285415651,0.381515601092066,ar5.csv,rotationForest,5,432.993,291,36,0,0,0,2 
0.610077519379845,0,NA,0,NA,0,0.851485148514851,1,0.877968022038516,0.3844038648712,0.819874316250881,0.372299854771991,0.958360685808877,0.462372945057989,0.610629631806102,0.372299854771991,0.446594725333249,ar6.csv,rotationForest,5,467.736,327,101,0,0,0,2 
0.723539272030651,0.114811091324793,0.238095238095238,0.15625,0.188679245283019,0.111808248149453,0.853242320819113,0.938697318007663,0.783313576199335,0.106736563831195,0.711629518624113,0.152857783224115,0.933271487843253,0.313430274124482,0.368775643474173,0.152857783224115,0.20963804478989,ant-1.5.csv,rotationForest,5,986.518,303,293,0,0,0,2 
0.816497398019137,0.223548698539525,0.625,0.16304347826087,0.258620689655172,0.168429752066115,0.754985754985755,0.965250965250965,0.837662469238426,0.169956190897306,0.72699429963517,0.174382758097607,0.9577681544969,0.313281505367667,0.425517438594191,0.174382758097607,0.24470243875311,ant-1.6.csv,rotationForest,5,1379.548,596,351,0,0,0,2 
0.718472222222223,0.177438400136962,0.106870229007634,0.875,0.19047619047619,0.0818312790139266,0.506224066390041,0.48,0.681715982664144,0.346797306048207,0.71728144149307,0.777155032612949,0.57031661909455,0.683871023558102,0.697356962662969,0.777155032612949,0.727708290641751,ivy-1.4.csv,rotationForest,5,775.088,111,241,0,0,0,2 
0.797860360360361,0.50746085945304,0.791666666666667,0.513513513513513,0.622950819672131,0.48553252616458,0.788990825688073,0.930555555555556,0.806023582851684,0.433589841632558,0.799608864446018,0.492936854640028,0.914941861773889,0.547548944866354,0.675414794355971,0.492936854640028,0.547783900380282,log4j-1.1.csv,rotationForest,5,787.904,135,109,0,0,0,2 
0.66380124056095,0.286911901300994,0.760416666666667,0.506944444444444,0.608333333333333,0.26599645928174,0.619433198380567,0.776699029126214,0.681141748912341,0.35894303877383,0.74133117216868,0.640749998986301,0.721201403093668,0.688509691776723,0.667071970703659,0.640749998986301,0.646656414475098,lucene-2.2.csv,rotationForest,5,898.379,195,247,0,0,0,2 
0.636078042328042,0.091428081316584,0.962962962962963,0.275132275132275,0.42798353909465,0.0308812025983743,0.321951219512195,0.875,0.816159890669755,0.5199355490111,0.820726697642665,0.583870876800409,0.910621759381323,0.636331918244666,0.729110314511108,0.583870876800409,0.639926458042144,log4j-1.2.csv,rotationForest,5,922.839,244,205,0,0,0,2 
0.814458874458875,0.460323513210742,0.549450549450549,0.666666666666667,0.602409638554217,0.456307543207882,0.784313725490196,0.822510822510823,0.776915785800969,0.473805992364848,0.838517455369231,0.592816660924818,0.868340288088178,0.700561317348112,0.691241583515742,0.592816660924818,0.630961950689893,jedit-4.0.csv,rotationForest,5,981.57,272,306,0,0,0,2 
0.782091346153847,0.29171777950108,0.428571428571429,0.3,0.352941176470588,0.286135693215339,0.875,0.948717948717949,0.750852799365882,0.0918050540906823,0.682083852445933,0.147021944459565,0.926918767020738,0.336833865156988,0.381135525872402,0.147021944459565,0.202132644422657,ivy-2.0.csv,rotationForest,5,1097.056,352,352,0,0,0,2 
0.52185579080886,0.047322338102074,0.128571428571429,0.72972972972973,0.218623481781376,0.0228320810087394,0.385350318471338,0.339350180505415,0.742055034701789,0.459815725394339,0.788079049533398,0.80954260216667,0.648588411910007,0.789651242569242,0.771273261286688,0.80954260216667,0.787130949492976,poi-2.0.csv,rotationForest,5,925.516,237,314,0,0,0,2 
0.852175802683761,0.411933459494208,0.612903225806452,0.481012658227848,0.539007092198582,0.40694818107381,0.791666666666667,0.896995708154506,0.791327946106726,0.448830888969411,0.828204701192564,0.51440735896257,0.903761618235476,0.671482867091989,0.684959472324284,0.51440735896257,0.583291868438127,jedit-4.1.csv,rotationForest,5,1324.287,578,312,0,0,0,2 
0.49872848200313,-0.0313932643529118,0.660098522167488,0.943661971830986,0.776811594202899,-0.018543701322784,0.64018691588785,0.0416666666666667,0.841271402526846,0.52148439368381,0.83917009012028,0.951011374764879,0.515759168634569,0.846461474921807,0.854406548947795,0.951011374764879,0.899075681152141,velocity-1.5.csv,rotationForest,5,919.459,196,214,0,0,0,2 
0.810807998834717,0.399148001806514,0.695121951219512,0.343373493975904,0.459677419354839,0.36630357505586,0.820134228187919,0.956822107081174,0.806769015227294,0.258542286392324,0.765455579644544,0.28801857800748,0.930879921562849,0.415995098342345,0.501776522817299,0.28801857800748,0.361188508588678,ant-1.7.csv,rotationForest,5,1947.948,947,745,0,0,0,2 
0.707453885153357,0.319585594309083,0.740540540540541,0.67487684729064,0.706185567010309,0.317725752508361,0.664705882352941,0.64963503649635,0.637547501193813,0.274644485215178,0.697574432612194,0.659157624230648,0.617374176678793,0.719332875348722,0.660878347507046,0.659157624230648,0.656962838203812,lucene-2.4.csv,rotationForest,5,1283.082,442,340,0,0,0,2 
0.754954228525355,0.307891168720408,0.580645161290323,0.248275862068966,0.347826086956522,0.275676207821614,0.845183486238532,0.96423658872077,0.768391206075275,0.17267239627024,0.665282595348498,0.180618536046467,0.953348423028651,0.404290050707541,0.557221611713462,0.180618536046467,0.268201971002908,camel-1.4.csv,rotationForest,5,2063.887,947,872,0,0,0,2 
0.629105839416058,0.0822538266281077,0.763157894736842,0.116935483870968,0.202797202797203,0.0381538866121716,0.407792207792208,0.934306569343066,0.661144742108438,0.152861177613329,0.665000989460923,0.304281488337391,0.835628680018573,0.454416015356885,0.474127064243375,0.304281488337391,0.366234713326033,poi-2.5.csv,rotationForest,5,1352.638,551,385,0,0,0,2 
0.741347469220247,0.280717546672529,0.714285714285714,0.232558139534884,0.350877192982456,0.222586999343401,0.7109375,0.952941176470588,0.802684800597246,0.241729484528939,0.735847277514772,0.258691047905964,0.940373241520074,0.415291403563498,0.53700233997281,0.258691047905964,0.339109607720415,synapse-1.2.csv,rotationForest,5,1148.573,379,256,0,0,0,2 
0.871342737722049,0.413156492563136,0.420289855072464,0.604166666666667,0.495726495726496,0.40374500894947,0.839237057220708,0.874608150470219,0.802779165741957,0.457149293204849,0.839202552346081,0.498687733561425,0.919215849747211,0.691500943967798,0.705230486157132,0.498687733561425,0.580319660207562,jedit-4.2.csv,rotationForest,5,1688.168,890,367,0,0,0,2 
