methodHistories,LOC,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,Churn,MaxChurn,AvgChurn,cond,elseAdded,elseDeleted,bug
3,56,1,56,56,56,0,0,0,56,56,18,1,0,0,FALSE
3,47,1,47,47,47,0,0,0,47,47,15,0,0,0,FALSE
5,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
5,25,1,25,25,25,0,0,0,25,25,5,0,0,0,FALSE
5,32,1,32,32,32,0,0,0,32,32,6,0,0,0,FALSE
7,67,1,67,67,67,0,0,0,67,67,9,0,0,0,FALSE
5,448,2,448,405,224,0,0,0,448,405,89,7,0,0,FALSE
6,30,1,30,21,15,0,0,0,30,21,5,0,0,0,FALSE
1,55,1,55,55,55,0,0,0,55,55,55,2,0,0,FALSE
1,67,1,67,67,67,0,0,0,67,67,67,3,0,0,TRUE
1,68,1,68,68,68,0,0,0,68,68,68,0,0,0,FALSE
1,55,1,55,55,55,0,0,0,55,55,55,2,0,0,FALSE
3,135,2,144,121,72,9,9,9,135,121,45,3,1,0,TRUE
4,51,1,57,57,57,6,6,6,51,57,12,0,0,0,TRUE
3,39,1,39,39,39,0,0,0,39,39,13,2,1,0,FALSE
7,26,1,26,26,26,0,0,0,26,26,3,0,0,0,FALSE
10,253,1,260,174,65,7,7,7,253,174,25,2,1,0,FALSE
1,69,1,69,69,69,0,0,0,69,69,69,1,0,0,FALSE
1,52,1,52,52,52,0,0,0,52,52,52,1,0,0,TRUE
4,71,1,71,61,35,0,0,0,71,61,17,0,0,0,FALSE
3,35,1,35,35,35,0,0,0,35,35,11,0,0,0,FALSE
5,10,1,12,12,12,2,2,2,10,12,2,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
1,77,1,77,77,77,0,0,0,77,77,77,2,0,0,FALSE
2,84,2,86,86,86,2,2,2,84,86,42,1,0,0,FALSE
17,1180,2,1230,718,175,50,46,25,1180,718,69,30,6,0,TRUE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
5,81,1,87,79,43,6,6,6,81,79,16,1,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
7,62,1,67,67,67,5,5,5,62,67,8,0,0,0,FALSE
1,29,1,29,29,29,0,0,0,29,29,29,1,0,0,FALSE
4,131,1,173,173,173,42,42,42,131,173,32,3,0,0,FALSE
3,39,1,39,39,39,0,0,0,39,39,13,0,0,0,FALSE
1,38,1,38,38,38,0,0,0,38,38,38,1,0,0,FALSE
1,29,1,29,29,29,0,0,0,29,29,29,1,0,0,FALSE
6,10,1,11,11,11,1,1,1,10,11,1,0,0,0,FALSE
1,24,1,24,24,24,0,0,0,24,24,24,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,29,1,29,29,29,0,0,0,29,29,29,1,0,0,FALSE
1,31,1,31,31,31,0,0,0,31,31,31,1,0,0,TRUE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
5,59,1,59,40,29,0,0,0,59,40,11,1,0,0,TRUE
6,15,1,15,15,15,0,0,0,15,15,2,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
1,20,1,20,20,20,0,0,0,20,20,20,0,0,0,TRUE
8,22,1,23,12,11,1,1,1,22,12,2,1,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
5,15,1,18,18,18,3,3,3,15,18,3,0,0,0,FALSE
1,22,1,22,22,22,0,0,0,22,22,22,1,0,0,TRUE
1,31,1,31,31,31,0,0,0,31,31,31,1,0,0,FALSE
2,40,2,40,39,20,0,0,0,40,39,20,1,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
3,35,2,35,30,17,0,0,0,35,30,11,1,0,0,TRUE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
6,58,1,58,58,58,0,0,0,58,58,9,1,0,0,FALSE
11,289,1,289,141,96,0,0,0,289,141,26,6,0,0,TRUE
3,35,2,35,30,17,0,0,0,35,30,11,1,0,0,TRUE
5,15,1,17,17,17,2,2,2,15,17,3,0,0,0,FALSE
3,35,2,35,30,17,0,0,0,35,30,11,1,0,0,TRUE
6,15,1,17,17,17,2,2,2,15,17,2,0,0,0,FALSE
6,35,1,37,37,37,2,2,2,35,37,5,0,0,0,FALSE
7,15,1,18,15,9,3,3,3,15,15,2,0,0,0,FALSE
6,29,1,29,29,29,0,0,0,29,29,4,0,0,0,FALSE
6,88,1,88,88,88,0,0,0,88,88,14,2,1,0,FALSE
6,55,1,55,55,55,0,0,0,55,55,9,1,0,0,FALSE
5,15,1,15,14,7,0,0,0,15,14,3,0,0,0,FALSE
3,25,1,25,25,25,0,0,0,25,25,8,0,0,0,FALSE
5,21,1,21,21,21,0,0,0,21,21,4,0,0,0,FALSE
6,35,1,35,35,35,0,0,0,35,35,5,0,0,0,FALSE
1,65,1,65,65,65,0,0,0,65,65,65,0,0,0,TRUE
6,53,1,55,55,55,2,2,2,53,55,8,0,0,0,FALSE
6,71,1,71,40,14,0,0,0,71,40,11,1,0,0,FALSE
6,57,1,59,59,59,2,2,2,57,59,9,0,0,0,FALSE
20,180,1,447,277,49,267,108,89,180,277,9,9,1,1,TRUE
2,35,1,35,30,17,0,0,0,35,30,17,1,0,0,TRUE
6,15,1,17,17,17,2,2,2,15,17,2,0,0,0,FALSE
14,61,1,132,87,26,71,71,71,61,87,4,4,0,0,TRUE
6,46,1,59,59,59,13,11,6,46,59,7,0,0,0,FALSE
7,336,1,421,421,421,85,85,85,336,421,48,9,3,0,FALSE
6,298,1,298,210,99,0,0,0,298,210,49,1,0,0,FALSE
6,35,1,39,39,39,4,4,4,35,39,5,0,0,0,FALSE
6,310,1,322,322,322,12,12,12,310,322,51,0,0,0,FALSE
5,6,1,6,6,6,0,0,0,6,6,1,0,0,0,FALSE
6,73,1,81,81,81,8,8,8,73,81,12,0,0,0,FALSE
5,81,1,81,81,81,0,0,0,81,81,16,0,0,0,FALSE
6,35,1,37,37,37,2,2,2,35,37,5,0,0,0,FALSE
6,246,1,246,246,246,0,0,0,246,246,41,1,0,0,FALSE
9,56,2,60,23,12,4,4,4,56,23,6,0,0,0,TRUE
6,131,1,131,131,131,0,0,0,131,131,21,1,0,0,FALSE
6,39,1,41,41,41,2,2,2,39,41,6,0,0,0,FALSE
6,211,1,211,211,211,0,0,0,211,211,35,3,1,0,FALSE
7,717,1,717,717,717,0,0,0,717,717,102,20,7,0,FALSE
6,932,1,980,980,980,48,48,48,932,980,155,30,12,0,FALSE
6,1544,1,1544,1544,1544,0,0,0,1544,1544,257,3,0,0,FALSE
15,61,1,132,87,26,71,71,71,61,87,4,4,0,0,FALSE
6,349,1,349,341,174,0,0,0,349,341,58,21,10,0,FALSE
6,106,1,108,108,108,2,2,2,106,108,17,0,0,0,FALSE
5,109,1,109,109,109,0,0,0,109,109,21,3,0,0,FALSE
6,72,1,72,72,72,0,0,0,72,72,12,0,0,0,FALSE
6,61,1,63,63,63,2,2,2,61,63,10,0,0,0,FALSE
5,98,1,98,98,98,0,0,0,98,98,19,1,0,0,FALSE
5,103,1,103,103,103,0,0,0,103,103,20,0,0,0,FALSE
6,388,1,388,388,388,0,0,0,388,388,64,14,5,0,TRUE
5,70,1,70,70,70,0,0,0,70,70,14,0,0,0,FALSE
6,1907,1,1907,1907,1907,0,0,0,1907,1907,317,75,36,0,TRUE
6,361,1,361,320,180,0,0,0,361,320,60,2,0,0,TRUE
6,35,1,37,37,37,2,2,2,35,37,5,0,0,0,FALSE
3,80,1,93,93,93,13,13,13,80,93,26,0,0,0,FALSE
1,43,1,43,43,43,0,0,0,43,43,43,0,0,0,FALSE
3,80,1,93,93,93,13,13,13,80,93,26,0,0,0,FALSE
5,233,1,233,233,233,0,0,0,233,233,46,10,4,0,FALSE
8,64,1,64,21,12,0,0,0,64,21,8,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
5,74,1,74,74,74,0,0,0,74,74,14,0,0,0,FALSE
8,427,1,427,427,427,0,0,0,427,427,53,6,3,0,TRUE
5,109,1,109,109,109,0,0,0,109,109,21,3,0,0,FALSE
5,26,1,26,21,13,0,0,0,26,21,5,0,0,0,FALSE
5,618,1,618,616,309,0,0,0,618,616,123,6,0,0,FALSE
5,37,1,39,39,39,2,2,2,37,39,7,0,0,0,FALSE
6,481,1,481,481,481,0,0,0,481,481,80,6,1,0,TRUE
6,163,1,213,213,213,50,40,25,163,213,27,0,0,0,FALSE
3,56,1,56,56,56,0,0,0,56,56,18,1,0,0,FALSE
4,76,1,98,98,98,22,22,22,76,98,19,0,0,0,FALSE
5,58,1,58,58,58,0,0,0,58,58,11,0,0,0,FALSE
5,168,1,168,168,168,0,0,0,168,168,33,1,0,0,FALSE
6,73,1,73,40,14,0,0,0,73,40,12,1,0,0,FALSE
5,153,1,153,153,153,0,0,0,153,153,30,3,0,0,FALSE
3,56,1,56,56,56,0,0,0,56,56,18,1,0,0,FALSE
5,55,1,55,55,55,0,0,0,55,55,11,0,0,0,FALSE
6,173,1,198,198,198,25,25,25,173,198,28,5,0,0,TRUE
7,373,1,379,375,189,6,6,6,373,375,53,7,2,0,FALSE
7,31,1,31,30,15,0,0,0,31,30,4,0,0,0,FALSE
5,61,1,61,61,61,0,0,0,61,61,12,1,0,0,TRUE
5,62,1,62,62,62,0,0,0,62,62,12,1,0,0,FALSE
4,15,1,15,12,7,0,0,0,15,12,3,0,0,0,FALSE
6,194,1,194,194,194,0,0,0,194,194,32,2,1,0,TRUE
1,9,1,9,9,9,0,0,0,9,9,9,0,0,0,FALSE
5,15,1,15,15,15,0,0,0,15,15,3,0,0,0,FALSE
6,353,1,353,353,353,0,0,0,353,353,58,4,1,0,FALSE
6,93,1,95,87,47,2,2,2,93,87,15,0,0,0,FALSE
6,200,1,200,200,200,0,0,0,200,200,33,10,3,0,TRUE
5,73,1,73,40,36,0,0,0,73,40,14,2,1,0,FALSE
3,71,1,71,71,71,0,0,0,71,71,23,1,0,0,FALSE
10,75,1,75,70,37,0,0,0,75,70,7,2,1,0,FALSE
3,9,1,9,9,9,0,0,0,9,9,3,0,0,0,FALSE
5,35,1,35,35,35,0,0,0,35,35,7,0,0,0,FALSE
4,114,1,114,107,57,0,0,0,114,107,28,1,0,0,FALSE
5,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
6,22,1,22,22,22,0,0,0,22,22,3,0,0,0,FALSE
6,13,1,13,13,13,0,0,0,13,13,2,0,0,0,FALSE
5,97,1,97,97,97,0,0,0,97,97,19,2,1,0,FALSE
1,9,1,9,9,9,0,0,0,9,9,9,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
6,18,1,18,18,18,0,0,0,18,18,3,0,0,0,FALSE
1,7,1,7,7,7,0,0,0,7,7,7,0,0,0,FALSE
6,15,1,18,15,9,3,3,3,15,15,2,0,0,0,FALSE
5,28,1,28,28,28,0,0,0,28,28,5,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
2,139,1,139,97,69,0,0,0,139,97,69,0,0,0,FALSE
3,22,1,22,22,22,0,0,0,22,22,7,0,0,0,FALSE
9,94,1,94,94,94,0,0,0,94,94,10,1,0,0,FALSE
8,11,1,11,11,11,0,0,0,11,11,1,0,0,0,FALSE
6,307,1,307,307,307,0,0,0,307,307,51,6,2,0,TRUE
5,13,1,13,13,13,0,0,0,13,13,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
1,46,1,46,46,46,0,0,0,46,46,46,0,0,0,FALSE
3,73,1,73,73,73,0,0,0,73,73,24,1,0,0,TRUE
3,10,1,10,10,10,0,0,0,10,10,3,0,0,0,FALSE
8,7,2,7,7,7,0,0,0,7,7,0,0,0,0,FALSE
6,13,1,13,13,13,0,0,0,13,13,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
5,13,1,13,13,13,0,0,0,13,13,2,0,0,0,TRUE
6,199,1,199,140,99,0,0,0,199,140,33,2,1,0,FALSE
8,7,2,7,7,7,0,0,0,7,7,0,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
3,25,1,25,25,25,0,0,0,25,25,8,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
5,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
3,136,1,136,136,136,0,0,0,136,136,45,0,0,0,FALSE
4,164,1,164,164,164,0,0,0,164,164,41,1,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
5,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,22,1,22,21,11,0,0,0,22,21,3,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
5,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,16,1,16,13,8,0,0,0,16,13,2,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
11,98,1,108,108,108,10,5,3,98,108,8,1,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,26,1,26,22,13,0,0,0,26,22,4,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,16,1,16,13,8,0,0,0,16,13,2,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,10,1,10,10,10,0,0,0,10,10,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,16,1,16,13,8,0,0,0,16,13,2,0,0,0,FALSE
5,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,18,1,18,16,9,0,0,0,18,16,3,0,0,0,FALSE
6,20,1,20,18,10,0,0,0,20,18,3,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
3,15,1,15,15,15,0,0,0,15,15,5,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,9,1,9,8,4,0,0,0,9,8,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,14,1,14,13,7,0,0,0,14,13,2,0,0,0,FALSE
6,28,1,28,28,28,0,0,0,28,28,4,0,0,0,FALSE
5,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,26,1,26,24,13,0,0,0,26,24,4,0,0,0,FALSE
6,20,1,20,19,10,0,0,0,20,19,3,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,22,1,22,21,11,0,0,0,22,21,3,0,0,0,FALSE
5,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
5,9,1,9,9,9,0,0,0,9,9,1,0,0,0,FALSE
6,20,1,20,18,10,0,0,0,20,18,3,0,0,0,FALSE
6,16,1,16,15,8,0,0,0,16,15,2,0,0,0,FALSE
6,8,1,8,8,8,0,0,0,8,8,1,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,24,1,24,22,12,0,0,0,24,22,4,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,13,1,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
2,13,1,13,13,13,0,0,0,13,13,6,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,16,1,16,14,8,0,0,0,16,14,2,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
5,18,1,18,18,18,0,0,0,18,18,3,0,0,0,FALSE
6,20,1,20,19,10,0,0,0,20,19,3,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
2,12,1,12,12,12,0,0,0,12,12,6,0,0,0,FALSE
6,30,1,30,30,30,0,0,0,30,30,5,0,0,0,FALSE
6,10,1,10,9,5,0,0,0,10,9,1,0,0,0,FALSE
5,22,1,22,22,22,0,0,0,22,22,4,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
5,10,1,10,10,10,0,0,0,10,10,2,0,0,0,FALSE
2,14,1,14,14,14,0,0,0,14,14,7,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,30,1,30,30,30,0,0,0,30,30,5,0,0,0,FALSE
6,24,1,24,22,12,0,0,0,24,22,4,0,0,0,FALSE
5,24,1,24,24,24,0,0,0,24,24,4,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
2,6,1,6,6,6,0,0,0,6,6,3,0,0,0,FALSE
6,39,1,39,39,39,0,0,0,39,39,6,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,14,1,14,13,7,0,0,0,14,13,2,0,0,0,FALSE
5,31,1,31,31,31,0,0,0,31,31,6,0,0,0,FALSE
6,22,2,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
5,20,1,20,20,20,0,0,0,20,20,4,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
3,13,2,13,11,6,0,0,0,13,11,4,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,18,1,18,16,9,0,0,0,18,16,3,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
5,27,1,27,27,27,0,0,0,27,27,5,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,11,1,11,10,5,0,0,0,11,10,1,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,22,2,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
5,17,1,17,17,17,0,0,0,17,17,3,0,0,0,FALSE
5,27,1,27,27,27,0,0,0,27,27,5,0,0,0,FALSE
6,22,2,22,20,11,0,0,0,22,20,3,0,0,0,FALSE
6,12,1,12,11,6,0,0,0,12,11,2,0,0,0,FALSE
5,34,1,34,34,34,0,0,0,34,34,6,1,0,0,FALSE
5,13,1,13,13,13,0,0,0,13,13,2,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,17,2,17,15,8,0,0,0,17,15,2,0,0,0,FALSE
6,13,2,13,11,6,0,0,0,13,11,2,0,0,0,FALSE
